                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.9716,                 3.9539,                 4.3848,                0.00167,                    0.5,                0.00226,                 0.0009,                 2.0533,                 4.4073,                 4.1202,               0.068256,              0.0022556,              0.0022556
                     35,                 2.9815,                 3.8598,                 4.3432,                0.00167,                    0.5,                0.00226,                 0.0009,                 2.0533,                 4.4073,                 4.1202,               0.067287,              0.0022873,              0.0022873
                     36,                 2.8771,                 3.9148,                 4.2356,                0.00167,                    0.5,                0.00187,                0.00072,                 2.0504,                 4.4009,                 4.1185,               0.066317,               0.002317,               0.002317
                     37,                 3.1549,                 3.9241,                 4.3831,                0.00167,                    0.5,                0.00187,                0.00072,                 2.0504,                 4.4009,                 4.1185,               0.065345,              0.0023447,              0.0023447
                     38,                 2.7598,                 3.8821,                 4.2791,                0.00167,                    0.5,                0.00246,                0.00093,                 2.0473,                 4.3949,                 4.1167,                0.06437,              0.0023704,              0.0023704
                     39,                 3.3618,                 4.4395,                 4.1711,                0.00167,                    0.5,                0.00246,                0.00093,                 2.0473,                 4.3949,                 4.1167,               0.063394,              0.0023942,              0.0023942
                     40,                 3.0245,                 3.9053,                 4.2991,                0.00167,                    0.5,                0.00198,                0.00079,                 2.0455,                 4.3882,                 4.1151,               0.062416,               0.002416,               0.002416
                     41,                 3.1531,                  3.801,                 4.3564,                0.00167,                    0.5,                0.00198,                0.00079,                 2.0455,                 4.3882,                 4.1151,               0.061436,              0.0024358,              0.0024358
                     42,                 3.0509,                 3.8859,                  4.209,                0.00167,                    0.5,                0.00181,                0.00069,                 2.0444,                 4.3816,                 4.1138,               0.060454,              0.0024536,              0.0024536
                     43,                 2.7608,                 3.5808,                 4.3585,                0.00167,                    0.5,                0.00181,                0.00069,                 2.0444,                 4.3816,                 4.1138,               0.059469,              0.0024695,              0.0024695
                     44,                 2.9802,                 4.1373,                 4.3613,                0.00167,                    0.5,                0.00238,                0.00083,                 2.0425,                 4.3743,                 4.1125,               0.058483,              0.0024834,              0.0024834
                     45,                 2.9924,                 3.7955,                 4.3679,                0.00167,                    0.5,                0.00238,                0.00083,                 2.0425,                 4.3743,                 4.1125,               0.057495,              0.0024953,              0.0024953
                     46,                 2.1637,                 3.6373,                 4.3221,                0.00167,                    0.5,                0.00247,                0.00092,                 2.0411,                 4.3685,                 4.1112,               0.056505,              0.0025052,              0.0025052
                     47,                 3.1805,                 3.8994,                 4.1922,                0.00167,                    0.5,                0.00247,                0.00092,                 2.0411,                 4.3685,                 4.1112,               0.055513,              0.0025131,              0.0025131
                     48,                 3.0685,                 3.6426,                 4.2854,                0.00167,                    0.5,                0.00189,                 0.0007,                 2.0397,                 4.3627,                 4.1101,               0.054519,               0.002519,               0.002519
                     49,                  2.944,                 4.0725,                 4.1975,                0.00167,                    0.5,                0.00189,                 0.0007,                 2.0397,                 4.3627,                 4.1101,               0.053523,               0.002523,               0.002523
                     50,                 3.1479,                 3.8072,                 4.1967,                0.00167,                    0.5,                0.00253,                0.00093,                  2.039,                 4.3565,                 4.1091,               0.052525,               0.002525,               0.002525
